Season,Team,matches_home,goals_for_home,goals_against_home,points_home,matches_away,goals_for_away,goals_against_away,points_away,Matches,GoalsFor,GoalsAgainst,Points,AvgPointsLast5,AvgGFLast5,AvgGALast5
epl_2022_2023,Crystal Palace,19,21,23,28,19,19,26,17,38,40,49,45,5.513513513513513,4.783783783783784,6.135135135135135
epl_2022_2023,Everton,19,16,27,21,19,18,30,15,38,34,57,36,4.162162162162162,4.027027027027027,7.243243243243243
epl_2022_2023,Fulham,19,31,29,29,19,24,24,23,38,55,53,52,6.513513513513513,6.648648648648648,6.486486486486487
epl_2022_2023,Leeds,19,26,37,22,19,22,41,9,38,48,78,31,4.108108108108108,6.0,9.297297297297296
epl_2022_2023,Leicester,19,23,27,19,19,28,41,15,38,51,68,34,4.054054054054054,6.405405405405405,8.486486486486486
epl_2022_2023,Liverpool,19,46,17,44,19,29,30,23,38,75,47,67,8.324324324324325,9.162162162162161,5.702702702702703
epl_2022_2023,Man City,19,60,17,52,19,34,16,37,38,94,33,89,11.432432432432432,12.297297297297296,4.1891891891891895
epl_2022_2023,Man United,19,36,10,48,19,22,33,27,38,58,43,75,9.0,6.945945945945946,5.54054054054054
epl_2022_2023,Newcastle,19,36,14,39,19,32,19,32,38,68,33,71,9.054054054054054,8.621621621621621,4.081081081081081
epl_2022_2023,Nott'm Forest,19,27,24,30,19,11,44,8,38,38,68,38,4.4324324324324325,4.486486486486487,8.675675675675675
epl_2022_2023,Southampton,19,19,37,11,19,17,36,14,38,36,73,25,3.2432432432432434,4.027027027027027,8.54054054054054
epl_2022_2023,Tottenham,19,37,25,37,19,33,38,23,38,70,63,60,7.54054054054054,8.594594594594595,7.783783783783784
epl_2022_2023,West Ham,19,26,24,28,19,16,31,12,38,42,55,40,4.918918918918919,5.162162162162162,6.8108108108108105
epl_2022_2023,Wolves,19,19,20,30,19,12,38,11,38,31,58,41,5.27027027027027,4.027027027027027,6.72972972972973
epl_2023_2024,Arsenal,19,48,16,47,19,43,13,42,38,91,29,89,10.81081081081081,11.378378378378379,3.675675675675676
epl_2023_2024,Aston Villa,19,48,28,40,19,28,33,28,38,76,61,68,8.945945945945946,9.756756756756756,7.027027027027027
epl_2023_2024,Bournemouth,19,27,28,27,19,27,39,21,38,54,67,48,6.243243243243243,6.864864864864865,8.324324324324325
epl_2023_2024,Brentford,19,29,34,22,19,27,31,17,38,56,65,39,4.783783783783784,6.945945945945946,8.054054054054054
epl_2023_2024,Brighton,19,30,27,30,19,25,35,18,38,55,62,48,6.243243243243243,7.1891891891891895,7.72972972972973
epl_2023_2024,Burnley,19,19,43,10,19,22,35,14,38,41,78,24,3.108108108108108,5.054054054054054,9.64864864864865
epl_2023_2024,Chelsea,19,44,26,37,19,33,37,26,38,77,63,63,7.297297297297297,9.35135135135135,8.108108108108109
